Player  		Tm		PTS		GP		index
Brad Hunt		VEG		18		44		5.03
Alex Chiasson		WSH		18		60		4.32
Zach Parise		MIN		24		42		4.28
Travis Dermott		TOR		13		36		4.19
Cory Conacher		TBL		12		36		4.1
Brandon Tanev		WPG		17		60		4.08
Trevor Lewis		LAK		26		67		3.95
Travis Zajac		NJD		26		63		3.85
Miles Wood		NJD		30		75		3.73
Chandler Stephenson	WSH		17		66		3.71
Nino Niederreiter	MIN		30		62		3.62
Ben Chiarot		WPG		14		56		3.6
Josh Anderson		CBJ		29		62		3.59
Dylan DeMelo		SJS		19		62		3.56
Stefan Noesen		NJD		27		71		3.55
Jannik Hansen		SJS		14		46		3.54
Barclay Goodrow		SJS		14		47		3.46
Derek Grant		ANA		24		65		3.45
Carl Soderberg		COL		35		76		3.45
Alex Iafallo		LAK		25		75		3.39
Matt Hunwick		PIT		10		42		3.39
Madison Bowey		WSH		12		51		3.39
Ron Hainsey		TOR		23		79		3.38
Nick Ritchie		ANA		27		75		3.36
Sven Andrighetto	COL		22		49		3.36
Brian Dumoulin		PIT		18		80		3.2
Christian Djoos		WSH		14		63		3.2
Brenden Dillon		SJS		22		80		3.19
Ryan Callahan		TBL		17		66		3.17
Pavel Zacha		NJD		23		68		3.16
Sonny Milano		CBJ		22		54		3.12
Matt Hendricks		WPG		13		60		3.12
Melker Karlsson		SJS		19		71		3.11
Devante Smith-Pelly	WSH		16		74		3.11
Ryan Kesler		ANA		14		43		3.04
Erik Johnson		COL		25		62		3.02
Blake Coleman		NJD		25		78		2.99
Connor Carrick		TOR		12		47		2.97
Markus Nutivaara	CBJ		23		61		2.89
Slater Koekkoek		TBL		8		34		2.89
Damon Severson		NJD		23		75		2.86
Kasperi Kapanen		TOR		9		37		2.83
Jake Dotchin		TBL		11		48		2.82
Tim Schaller		BOS		21		80		2.8
Anton Stralman		TBL		18		79		2.8
Dominic Moore		TOR		12		50		2.79
Matt Martin		TOR		12		50		2.79
Andrew MacDonald	PHI		21		65		2.75
Tomas Nosek		VEG		15		67		2.75
Pierre-Edouard BellemareVEG		16		72		2.73
Matt Calvert		CBJ		24		68		2.71
Matt Grzelcyk		BOS		15		60		2.67
Andreas Borgman		TOR		11		48		2.66
Matt Irwin		NSH		8		49		2.64
Jimmy Hayes		NJD		9		32		2.63
Roman Polak		TOR		12		53		2.63
Braydon Coburn		TBL		15		71		2.6
Steven Santini		NJD		10		36		2.59
Jordan Weal		PHI		21		69		2.59
Tyson Jost		COL		22		64		2.57
Matthew Nieto		COL		25		73		2.56
Nikita Zaitsev		TOR		13		59		2.56
Dmitry Kulikov		WPG		11		62		2.55
J.T. Compher		COL		23		68		2.53
Joel Ward		SJS		11		51		2.51
Brayden McNabb		VEG		15		75		2.46
Colin Wilson		COL		18		55		2.45
Kevan Miller		BOS		15		66		2.43
Drew Stafford		NJD		15		58		2.41
Francois Beauchemin		ANA		17		66		2.4
Antoine Vermette		ANA		16		63		2.37
Derek Forbort		LAK		18		78		2.35
Marcus Foligno		MIN		23		76		2.27
Miikka Salomaki		NSH		8		57		2.27
Michael Raffl		PHI		20		75		2.27
Brandon Manning		PHI		17		64		2.26
Marcus Sorensen		SJS		6		31		2.25
Joakim Ryan		SJS		12		62		2.25
Oscar Lindberg		VEG		11		62		2.18
Mark Barberio		COL		13		45		2.16
Daniel Winnik		MIN		23		80		2.15
Scott Laughton		PHI		20		80		2.13
John Moore		NJD		18		80		2.1
Ryan Murray		CBJ		12		44		2.09
Jonas Brodin		MIN		20		72		2.08
Tyler Ennis		MIN		20		72		2.08
Nail Yakupov		COL		16		58		2.07
Christian Folin		LAK		13		64		2.07
Andy Andreoff		LAK		9		45		2.03
Matt Cullen		MIN		21		78		2.02
Cedric Paquette		TBL		9		55		2.01
Toby Enstrom		WPG		6		43		2.01
Andrej Sustr		TBL		7		43		2
Sean Kuraly		BOS		14		75		1.99
Michael Amadio		LAK		7		36		1.98
Nikita Zadorov		COL		20		76		1.97
Alexei Emelin		NSH		9		75		1.94
Brandon Dubinsky		CBJ		15		61		1.89
Kyle Clifford		LAK		9		49		1.87
Radko Gudas		PHI		15		69		1.85
Noel Acciari		BOS		10		58		1.84
Brooks Orpik		WSH		10		80		1.8
Jonny Brodzinski		LAK		6		34		1.79
Yannick Weber		NSH		5		47		1.72
Patrik Nemeth		COL		15		67		1.68
Tom Kuhnhackl		PIT		8		69		1.65
Joel Eriksson Ek		MIN		16		74		1.62
Carter Rowney		PIT		5		44		1.62
Chad Ruhwedel		PIT		5		44		1.62
Travis Sanheim		PHI		9		48		1.59
David Savard		CBJ		16		80		1.53
Andy Greene		NJD		13		80		1.52
Anthony Bitetto		NSH		3		32		1.52
Dale Weise		PHI		8		46		1.48
Gustav Olofsson		MIN		8		41		1.46
Gabriel Bourque		COL		11		57		1.45
Ben Lovejoy		NJD		8		56		1.33
Kevin Bieksa		ANA		8		59		1.27
Markus Hannikainen		CBJ		5		32		1.2
Kurtis MacDermid		LAK		4		34		1.2
Lukas Sedlak		CBJ		8		53		1.16
Jori Lehtera		PHI		8		61		1.12
Jonathon Merrill		VEG		3		33		1.12
Jack Johnson		CBJ		11		76		1.11
Taylor Leier		PHI		5		39		1.09
Robert Hagg		PHI		9		70		1.09
William Carrier		VEG		3		36		1.03
Scott Harrington		CBJ		4		31		0.99
Adam McQuaid		BOS		3		36		0.89
Brandon Carlo		BOS		6		76		0.84
Anton Lindholm		COL		4		48		0.62
Dominic Toninato		COL		2		37		0.4
