rank,name,team,pos,gp,goals,assists,points,ppg
1,Connor McDavid,EDM,C,82,30,70,100,1.22
2,Sidney Crosby,PIT,C,75,44,45,89,1.19
3,Patrick Kane,CHI,RW,82,34,55,89,1.09
4,Nicklas Backstrom,WAS,C,82,23,63,86,1.05
5,Brad Marchand,BOS,LW,80,39,46,85,1.06
6,Nikita Kucherov,TB,RW,74,40,45,85,1.15
7,Mark Scheifele,WPG,C,79,32,50,82,1.04
8,Leon Draisaitl,EDM,C,82,29,48,77,0.94
9,Brent Burns,SJ,D,82,29,47,76,0.93
10,Vladimir Tarasenko,STL,RW,82,39,36,75,0.91
11,Blake Wheeler,WPG,RW,82,26,48,74,0.90
12,Artemi Panarin,CHI,LW,82,31,43,74,0.90
13,Ryan Getzlaf,ANH,C,74,15,58,73,0.99
14,Evgeni Malkin,PIT,C,62,33,39,72,1.16
15,Tyler Seguin,DAL,C,82,26,46,72,0.88
16,Victor Hedman,TB,D,79,16,56,72,0.91
17,Erik Karlsson,OTT,D,77,17,54,71,0.92
18,Phil Kessel,PIT,RW,82,23,47,70,0.85
19,David Pastrnak,BOS,RW,75,34,36,70,0.93
20,Alex Ovechkin,WAS,LW,82,33,36,69,0.84
21,Mikael Granlund,MIN,C,81,26,43,69,0.85
22,Auston Matthews,TOR,C,82,40,29,69,0.84
23,Jamie Benn,DAL,LW,77,26,43,69,0.90
24,Joe Pavelski,SJ,C,81,29,39,68,0.84
25,Henrik Zetterberg,DET,LW,82,17,51,68,0.83
26,Max Pacioretty,MON,LW,81,35,32,67,0.83
27,John Tavares,NYI,C,77,28,38,66,0.86
28,Jeff Carter,LA,C,82,32,34,66,0.80
29,Eric Staal,MIN,C,82,28,37,65,0.79
30,Patrik Laine,WPG,RW,73,36,28,64,0.88
31,Nikolaj Ehlers,WPG,LW,82,25,39,64,0.78
32,Jeff Skinner,CAR,LW,79,37,26,63,0.80
33,Cam Atkinson,CLS,RW,82,35,27,62,0.76
34,James van Riemsdyk,TOR,LW,82,29,33,62,0.76
35,Jakub Voracek,PHI,RW,82,20,41,61,0.74
36,Viktor Arvidsson,NSH,LW,80,31,30,61,0.76
37,Johnny Gaudreau,CGY,LW,72,18,43,61,0.85
38,Ryan Johansen,NSH,C,82,14,47,61,0.74
39,Nazem Kadri,TOR,C,82,32,29,61,0.74
40,Mitchell Marner,TOR,C,77,19,42,61,0.79
41,William Nylander,TOR,C,81,22,39,61,0.75
42,Mike Hoffman,OTT,LW,74,26,35,61,0.82
43,Evgeny Kuznetsov,WAS,C,82,19,40,59,0.72
44,Alexander Wennberg,CLS,C,80,13,46,59,0.74
45,Mats Zuccarello,NYR,RW,80,15,44,59,0.74
46,Jonathan Toews,CHI,C,72,21,37,58,0.81
47,Claude Giroux,PHI,C,82,14,44,58,0.71
48,Ryan Kesler,ANH,C,82,22,36,58,0.71
49,Filip Forsberg,NSH,LW,82,31,27,58,0.71
50,Mikko Koivu,MIN,C,80,18,40,58,0.73
51,Sean Monahan,CGY,C,82,27,31,58,0.71
52,Marcus Johansson,WAS,LW,82,24,34,58,0.71
53,Nino Niederreiter,MIN,RW,82,25,32,57,0.70
54,Jack Eichel,BUF,C,61,24,33,57,0.93
55,Charlie Coyle,MIN,C,82,18,38,56,0.68
56,Kevin Shattenkirk,WAS,D,80,13,43,56,0.70
57,Josh Bailey,NYI,LW,82,13,43,56,0.68
58,T.J. Oshie,WAS,RW,68,33,23,56,0.82
59,J.T. Miller,NYR,LW,82,22,34,56,0.68
60,Derek Stepan,NYR,C,81,17,38,55,0.68
61,Radim Vrbata,ARI,RW,81,20,35,55,0.68
62,Brayden Schenn,PHI,C,79,25,30,55,0.70
63,Tyler Bozak,TOR,C,78,18,37,55,0.71
64,Jaden Schwartz,STL,LW,78,19,36,55,0.71
65,Ryan O'Reilly,BUF,C,72,20,35,55,0.76
66,Kyle Turris,OTT,C,78,27,28,55,0.71
67,Mark Stone,OTT,RW,71,22,32,54,0.76
68,David Krejci,BOS,C,82,23,31,54,0.66
69,Vincent Trocheck,FLA,C,82,23,31,54,0.66
70,Alexander Radulov,MON,RW,76,18,36,54,0.71
71,Wayne Simmonds,PHI,RW,82,31,23,54,0.66
72,Kyle Palmieri,NJ,RW,80,26,27,53,0.66
73,Duncan Keith,CHI,D,80,6,47,53,0.66
74,Taylor Hall,NJ,LW,72,20,33,53,0.74
75,Mikael Backlund,CGY,C,81,22,31,53,0.65
76,Conor Sheary,PIT,LW,61,23,30,53,0.87
77,Corey Perry,ANH,RW,82,19,34,53,0.65
78,Patrice Bergeron,BOS,C,79,21,32,53,0.67
79,Brandon Saad,CLS,LW,82,24,29,53,0.65
80,Nathan MacKinnon,COL,C,82,16,37,53,0.65
81,Chris Kreider,NYR,LW,75,28,25,53,0.71
82,Jonathan Drouin,TB,LW,73,21,32,53,0.73
83,Bo Horvat,VAN,C,81,20,32,52,0.64
84,Logan Couture,SJ,C,73,25,27,52,0.71
85,Anze Kopitar,LA,C,76,12,40,52,0.68
86,Anders Lee,NYI,LW,81,34,18,52,0.64
87,Ondrej Palat,TB,LW,75,17,35,52,0.69
88,Dustin Byfuglien,WPG,D,80,13,39,52,0.65
89,Aleksander Barkov,FLA,C,61,21,31,52,0.85
90,Torey Krug,BOS,D,81,8,43,51,0.63
91,Justin Schultz,PIT,D,78,12,39,51,0.65
92,Rickard Rakell,ANH,C,71,33,18,51,0.72
93,Patrick Eaves,ANH,RW,79,32,19,51,0.65
94,Jordan Eberle,EDM,RW,82,20,31,51,0.62
95,Alexander Steen,STL,LW,76,16,35,51,0.67
96,Nick Foligno,CLS,LW,79,26,25,51,0.65
97,Henrik Sedin,VAN,C,82,15,36,51,0.62
98,Jonathan Marchessault,FLA,C,75,30,21,51,0.68
99,Sam Gagner,CLS,C,81,18,32,50,0.62
100,Joe Thornton,SJ,C,79,7,43,50,0.63
101,Milan Lucic,EDM,LW,82,23,27,50,0.61
102,Dougie Hamilton,CGY,D,81,13,37,50,0.62
103,Jason Spezza,DAL,C,68,15,35,50,0.74
104,Jakob Silfverberg,ANH,RW,79,23,26,49,0.62
105,John Klingberg,DAL,D,80,13,36,49,0.61
106,Roman Josi,NSH,D,72,12,37,49,0.68
107,Sebastian Aho,CAR,RW,82,24,25,49,0.60
108,Kevin Hayes,NYR,C,76,17,32,49,0.64
109,Gustav Nyquist,DET,RW,76,12,36,48,0.63
110,Justin Williams,WAS,RW,80,24,24,48,0.60
111,Alex Pietrangelo,STL,D,80,14,34,48,0.60
112,Thomas Vanek,FLA,LW,68,17,31,48,0.71
113,Matthew Tkachuk,CGY,LW,76,13,35,48,0.63
114,Bryan Little,WPG,C,59,21,26,47,0.80
115,Jason Zucker,MIN,LW,79,22,25,47,0.59
116,Sam Reinhart,BUF,C,79,17,30,47,0.59
117,Jason Pominville,MIN,RW,78,13,34,47,0.60
118,Zach Werenski,CLS,D,78,11,36,47,0.60
